         19638 function calls (19621 primitive calls) in 0.030 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      653    0.003    0.000    0.003    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      108    0.003    0.000    0.017    0.000 _logistic.py:84(_logistic_loss_and_grad)
        1    0.002    0.002    0.027    0.027 _lbfgsb_py.py:212(_minimize_lbfgsb)
1538/1536    0.001    0.000    0.008    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      216    0.001    0.000    0.002    0.000 extmath.py:120(safe_sparse_dot)
      109    0.001    0.000    0.008    0.000 validation.py:494(check_array)
      110    0.001    0.000    0.004    0.000 validation.py:90(_assert_all_finite)
      108    0.001    0.000    0.002    0.000 _logistic.py:46(_intercept_dot)
      216    0.001    0.000    0.020    0.000 _optimize.py:67(_compute_if_needed)
      436    0.001    0.000    0.003    0.000 fromnumeric.py:69(_wrapreduction)
      108    0.001    0.000    0.001    0.000 {sklearn.utils._logistic_sigmoid._log_logistic_sigmoid}
      112    0.001    0.000    0.001    0.000 validation.py:254(_num_samples)
      108    0.000    0.000    0.010    0.000 extmath.py:754(log_logistic)
      108    0.000    0.000    0.020    0.000 _differentiable_functions.py:132(fun_wrapped)
      108    0.000    0.000    0.001    0.000 numeric.py:2388(array_equal)
     1228    0.000    0.000    0.001    0.000 {built-in method builtins.isinstance}
      218    0.000    0.000    0.002    0.000 fromnumeric.py:2160(sum)
      217    0.000    0.000    0.000    0.000 shape_base.py:23(atleast_1d)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      216    0.000    0.000    0.002    0.000 fromnumeric.py:2404(all)
      108    0.000    0.000    0.003    0.000 _differentiable_functions.py:162(grad_wrapped)
      225    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      108    0.000    0.000    0.024    0.000 _differentiable_functions.py:282(fun_and_grad)
     1009    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      109    0.000    0.000    0.000    0.000 shape_base.py:81(atleast_2d)
      108    0.000    0.000    0.001    0.000 {method 'sum' of 'numpy.ndarray' objects}
      120    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      111    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
      436    0.000    0.000    0.000    0.000 fromnumeric.py:70(<dictcomp>)
      110    0.000    0.000    0.002    0.000 extmath.py:869(_safe_accumulator_op)
      107    0.000    0.000    0.001    0.000 _differentiable_functions.py:240(update_x)
      216    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(empty_like)
      111    0.000    0.000    0.000    0.000 warnings.py:458(__enter__)
      220    0.000    0.000    0.000    0.000 numerictypes.py:282(issubclass_)
      327    0.000    0.000    0.000    0.000 _base.py:1291(isspmatrix)
      110    0.000    0.000    0.000    0.000 numerictypes.py:356(issubdtype)
      218    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(sum)
      216    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(all)
      217    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(copy)
      109    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
  123/116    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      553    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
      217    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(atleast_1d)
      111    0.000    0.000    0.001    0.000 warnings.py:165(simplefilter)
      111    0.000    0.000    0.000    0.000 warnings.py:437(__init__)
      108    0.000    0.000    0.019    0.000 _optimize.py:74(__call__)
      312    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
      111    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
      217    0.000    0.000    0.000    0.000 function_base.py:846(copy)
      111    0.000    0.000    0.000    0.000 warnings.py:477(__exit__)
      112    0.000    0.000    0.000    0.000 _config.py:24(get_config)
      108    0.000    0.000    0.001    0.000 _optimize.py:79(derivative)
